name,follower_count,gender,sum(voteup_count),expertivity
HOOCCOOH,685,-1,5,-0.08475416599999999
liujie,1,-1,0,-0.10260149800000001
魏健,0,-1,0,-0.10262759099999999
莫能臣朴,51,-1,0,-0.10129686800000001
大老王,0,-1,0,-0.10262759099999999
顾旻玮,4454,1,12,0.01358881
呵呵,14,1,1,-0.102262294
VS陈默,497,1,12,-0.089659573
云时之间,2508,1,57,-0.037187372
知乎用户,758,1,10,-0.082849407
顿双保,8,1,0,-0.10241885
李大仙,25,1,0,-0.10197527599999999
breadbread1984,2,-1,8,-0.102575405
燕南囚,423,1,1,-0.091590425
wheeler,10958,-1,0,0.183295022
绣花小浣熊,130,-1,10,-0.099235554
知乎用户,303,1,5,-0.094721536
郑泽嘉,22,1,0,-0.102053554
三人水扬,122,-1,1,-0.099444295
刘浩鹏,15,-1,1,-0.102236202
知乎用户,1369,1,4,-0.066906833
知乎用户,276,1,11,-0.095426035
知乎用户,620,1,0,-0.086450184
星辰如梭,14,1,0,-0.102262294
静深,2,1,8,-0.102575405
狮厂厂长,11154,-1,9,0.18840917
张文,256,1,3,-0.095947887
知乎用户,4169,1,16,0.006152421
麦子,0,-1,1,-0.10262759099999999
文雨之,2602,1,37,-0.034734668999999996
知乎用户,72,1,0,-0.100748924
知乎用户,33,1,0,-0.101766535
access nlp,26,1,4,-0.10194918300000001
吱乎,217,1,277,-0.09696549800000001
知乎用户,14893,1,4,0.285969368
xyxyt,10,-1,0,-0.102366665
浅浅,12,0,2,-0.10231448
周云波,30,1,11,-0.101844813
又拍云,1864,-1,1,-0.053991001
whale,72,1,5,-0.100748924
陈鑫武,787,1,8,-0.082092721
知乎用户,5,1,0,-0.102497128
楼阁君,154,1,1,-0.098609332
东竹谦验,6650,0,6,0.07088814
XuPeter,28,-1,1,-0.101896998
知乎用户,77,1,1,-0.10061846099999999
知乎用户,337,1,0,-0.09383438699999999
知乎用户,0,1,1,-0.10262759099999999
枫林玉,0,-1,0,-0.10262759099999999
知乎用户,11,1,5,-0.10234057199999999
老李,1644,0,78,-0.059731371
李晓喆,201,1,14,-0.09738298
Chris Tinman,7474,1,4,0.092388435
赋离,5251,-1,1,0.034384605
葱粥,63,1,24,-0.100983757
启迪,40,1,2,-0.101583887
